fecha,seccion,apartado,referencia,empresa,texto,url
20260821,A,BARCELONA,387291,SRJ CAPITAL INVEST S.L,"Constitución. Comienzo de operaciones: 7.08.26. Objeto social: ACTIVIDAD PRINCIPAL: 6811 / COMPRAVENTA DE BIENES INMOBILIARIOS POR CUENTA PROPIA. OTRAS ACTIVIDADES: 4618 / ACTIVIDADES DE INTERMEDIARIOS DEL COMERCIO AL POR MAYOR DE OTROS PRODUCTOS ESPECIFICOS. Domicilio: PS MARE NOSTRUM NUM.19 (BADALONA). Capital: 3.000,00 Euros. Nombramientos. ADM.UNICO: SARAIVA SOARES SILVIO.  Datos registrales. S 8 , H B 662092, I/A 1 (10.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387292,PIGASSA SL,"Cambio de domicilio social. CL CISTERNA Num.18 (TERRASSA).  Datos registrales. S 8 , H B 107207, I/A 10 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387293,ENCOFRADOS HISPALIS S.L,"Revocaciones. ADM.SOLIDAR.: PROAÑO ZAMBRANO JOSE MIGUEL.  Datos registrales. S 8 , H B 630253, I/A 3 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387294,VAGOCAR 2026 S.L,"Constitución. Comienzo de operaciones: 14.08.26. Objeto social: ACTIVIDAD PRINCIPAL: 8240 / ACTIVIDADES DE INTERMEDIACION PARA SERVICIOS DE APOYO A LAS EMPRESAS N.C.O.P. Domicilio: CL MATARO NUM.27 P.1 PTA.3 (PRAT DE LLOBREGAT (EL)). Capital: 3.000,00 Euros. Nombramientos. ADM.UNICO: LUNA BARRAGAN RUBEN.  Datos registrales. S 8 , H B 662319, I/A 1 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387295,BKSTAY SOLUTIONS S.L,"Constitución. Comienzo de operaciones: 12.08.26. Objeto social: ACTIVIDAD PRINCIPAL: 5540 / ACTIVIDADES DE INTERMEDIACION PARA LOS SERVICIOS DE ALOJAMIENTO. OTRAS ACTIVIDADES: 4791 / ACTIVIDADES DE SERVICIOS DE INTERMEDIACION PARA EL COMERCIO AL POR MENOR NO ESPECIALIZADO. ETC. Domicilio: CL DOCTOR CADEVALL NUM.17 P.5 PTA.2 (BARCELONA). Capital: 3.000,00 Euros. Nombramientos. ADM.UNICO: BARBARA MARZENA KLIMKOWICZ. Otros conceptos: DECLARACION DE SOCIEDAD UNIPERSONAL, SIENDO SOCIO UNICO BARBARA MARZENA KLIMKOWICZ.  Datos registrales. S 8 , H B 662318, I/A 1 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387296,MOVAL GO S.L,"Constitución. Comienzo de operaciones: 14.08.26. Objeto social: ACTIVIDAD PRINCIPAL: 7711 ALQUILER DE AUTOMOVILES Y VEHICULOS DE MOTOR LIGEROS. OTRAS ACTIVIDADES: 47.81 COMERCIO AL POR MENOR DE VEHICULOS DE MOTOR. 46.71 COMERCIO AL POR MAYOR DE VEHICULOS DE MOTOR, ETC. Domicilio: CL RIERA DE SANT PERE NUM.70 (PREMIA DE DALT). Capital: 60.000,00 Euros. Nombramientos. ADM.SOLIDAR.: MOLINERO MONSO MIQUEL;VALDES ALVAREZ JOSE MANUEL.  Datos registrales. S 8 , H B 662322, I/A 1 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387297,IMPRINTER SL,"Revocaciones. ADMINISTR.: TREVEJO PORTILLO ANDRES. LIQUIDADOR: TREVEJO PORTILLO ANDRES. Nombramientos. LIQUIDADOR: TREVEJO PORTILLO ANDRES. Extinción.  Datos registrales. S 8 , H B 51753, I/A 5 (15.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387298,AZ SERVICIOS JURIDICOS S.L.P,"Cambio de domicilio social. CL TUSET Num.32 P.6 PTA.2 (BARCELONA).  Datos registrales. S 8 , H B 647842, I/A 3 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387299,BLIXMA DENTAL S.L,"Otros conceptos: DECLARACION DE UNIPERSONALIDAD. SOCIO UNICO: BLIXMA CAPITAL GROUP S.L.  Datos registrales. S 8 , H B 661062, I/A 2 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387300,BARBARE 2024 S.L,"Otros conceptos: No aprobacion de las cuentas anuales correspondientes al ejercicio 2025 (Art. 378.5 del Reglamento del Registro Mercantil).  Datos registrales. S 8 , H B 625425, I/A 2 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387301,CRAFTFUSION SOLUTIONS S.L,"Constitución. Comienzo de operaciones: 14.08.26. Objeto social: ACTIVIDAD PRINCIPAL: 6920 / ACTIVIDADES DE CONTABILIDAD, TENEDURIA DE LIBROS, AUDITORIA Y ASESORIA FISCAL. OTRAS ACTIVIDADES: 4321 / INSTALACIONES ELECTRICAS. 4650 / COMERCIO AL POR MAYOR DE EQUIPOS PARA LAS TECNOLOGIAS . ETC. Domicilio: CL PUIG I CADAFALCH NUM.1514 (CARME). Capital: 3.000,00 Euros. Nombramientos. ADM.SOLIDAR.: CORRETJA MURILLO GEMMA;PERET SANDOVAL ROBERT.  Datos registrales. S 8 , H B 662338, I/A 1 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387302,BLIXMA ASSETS S.L,"Otros conceptos: DECLARACION DE UNIPERSONALIDAD, SIENDO EL SOCIO UNICO:BLIXMA CAPITAL GROUP, S.L. Datos registrales. S 8 , H B 661075, I/A 2 (15.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387303,ESA WATER TECHNOLOGIES S.L,"Revocaciones. ADM.UNICO: PLA PUIGBO JORDI. Nombramientos. ADM.UNICO: VILARIÑO REHERMANN MICAELA. Otros conceptos: DECLARACION DE LA UNIPERSONALIDAD. SOCIO UNICO, DON LUCAS VALENTIN VILARIÑO REHERMANN. Cambio de domicilio social. CL BAGES Num.22 (SANT CUGAT DEL VALLES). Cambio de objeto social. AMPLIAR EN: ""- EL DISEÑO, FABRICACION, PERSONALIZACION, ESTAMPACION, BORDADO,IMPRESION DIGITAL, SERIGRAFIA, SUBLIMACION Y COMERCIALIZACION, AL POR MAYOR Y AL POR MENOR, DE PRENDAS TEXTILES, ROPA DEPORTIVA, UNIFORMES, ETC"".  Datos registrales. S 8 , H B 645748, I/A 2 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387304,ERBECEDO S.L,"Ampliación de capital. Capital: 2.520.000,00 Euros. Resultante Suscrito: 10.653.520,00 Euros.  Datos registrales. S 8 , H B 600929, I/A 5 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387305,ROSAL INSTALACIONES AGROINDUSTRIALES SA,"Nombramientos. CONSEJERO: ROSAL CEBALLOS ISABEL MARIA;ROSAL VALLEJO CARMEN;RC SIGMA SL. CONS.SUPLENT: RUIZ ROSAL ALEJANDRO;DAMIA LOPEZ JORDI. REPR.143 RRM: ROSAL CEBALLOS JAIME.  Datos registrales. S 8 , H B 51054, I/A 76 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387306,GAMISAN S.L,"Revocaciones. ADM.SOLIDAR.: SANTIAGO ALEJANDRO SANTINI. Nombramientos. ADM.SOLIDAR.: HACHUEL DUBOIS LAURENCE.  Datos registrales. S 8 , H B 620502, I/A 2 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387307,GM INTEGRA RRHH SL,"Nombramientos. CONSEJERO: JOHN ALEXANDER OP DE BEECK.  Datos registrales. S 8 , H B 7186, I/A 41 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387308,SAMIMA SA,"Revocaciones. CONSEJERO: MIRALPEIX SANTIAGO ADOLFO. PRESIDENTE: MIRALPEIX SANTIAGO ADOLFO. CONS. DELEG.: MIRALPEIX SANTIAGO ADOLFO. CONSEJERO: MIRALPEIX SANTIAGO ANTONIO. SECRETARIO: MIRALPEIX SANTIAGO ANTONIO. CONSEJERO: SANTIAGO GOMEZ CARMEN. VICEPRESIDEN: SANTIAGO GOMEZ CARMEN. Nombramientos. CONSEJERO: MIRALPEIX SANTIAGO ADOLFO;MIRALPEIX SANTIAGO ANTONIO;SANTIAGO GOMEZ CARMEN. PRESIDENTE: MIRALPEIX SANTIAGO ADOLFO. VICEPRESIDEN: SANTIAGO GOMEZ CARMEN. SECRETARIO: MIRALPEIX SANTIAGO ANTONIO. CONS.DEL.SOL: MIRALPEIX SANTIAGO ADOLFO. Modificaciones estatutarias. ARTICULO 7.- PRORROGA DEL PLAZO PARA EL DESEMBOLSO DE LOS DIVIDENDOS PASIVOS.  Datos registrales. S 8 , H B 95297, I/A 21 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387309,OUT OF GREEN S.L,"Otros conceptos: ADQUISICION DE NACIONALIDAD ESPAÑOLA Y DNI POR PARTE DE WEI SHAN (ACTUALMENTE WEI SHAN CHEN),SOCIA UNICA DE LA SOCIEDAD.  Datos registrales. S 8 , H B 570652, I/A 5 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387310,RIDEON BARCELONA S.L,"Constitución. Comienzo de operaciones: 14.08.26. Objeto social: ACTIVIDAD PRINCIPAL: 4933 / SERVICIOS DE TRANSPORTE DE PASAJEROS BAJO DEMANDA EN VEHICULOS CON CONDUCTOR. OTRAS ACTIVIDADES: 4781 / COMERCIO AL POR MENOR DE VEHICULOS DE MOTOR. ETC. Domicilio: CL CALABRIA NUM.149 ESC.EN PTA.1 (BARCELONA). Capital: 3.000,00 Euros. Nombramientos. ADM.UNICO: IOAN LAURENTIU CONSTANTIN. Otros conceptos: DECLARACION DE SOCIEDAD UNIPERSONAL, SIENDO SOCIO UNICO IOAN LAURENTIU CONSTANTIN.  Datos registrales. S 8 , H B 662347, I/A 1 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387311,FUSTE RAFA SL,"Revocaciones. ADM.UNICO: SAEZ PLAZA RAFAEL. Nombramientos. ADM.UNICO: GALAN FERNANDEZ PEDRO EMILIO. Otros conceptos: DECLARACION DE UNIPERSONALIDAD. SOCIO UNICO: PEDRO EMILIO GALAN FERNANDEZ. Cambio de domicilio social. PS MARITIM DE LES BOTIGUES DE SITGES Num.22 ESC.D (SITGES).  Datos registrales. S 8 , H B 480601, I/A 2 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
